Rank,Player,Team,Salary
509,Troy Williams\willitr02,NYK,148318
510,Larry Drew\drewla02,NOP,148318
511,Travis Wear\weartr01,LAL,148318
512,Carrick Felix\felixca01,WAS,140902
513,Brandon Rush\rushbr01,POR,119602
514,Jeremy Evans\evansje01,ATL,104059
515,Derrick Williams\willide02,LAL,104059
516,K.J. McDaniels\mcdankj01,TOR,100000
517,Marshall Plumlee\plumlma02,NYK,100000
518,Georges Niang\niangge01,IND,100000
519,Quinn Cook\cookqu01,ATL,100000
520,Demetrius Jackson\jacksde01,BOS,92858
521,Kyle Collinsworth\colliky01,DAL,92160
522,Josh Gray\grayjo01,PHO,92160
523,Naz Mitrou-Long\mitrona01,UTA,92160
524,Nigel Hayes\hayesni01,TOR,92160
525,Shaquille Harrison\harrish01,PHO,92160
526,Rodney Purvis\purviro01,ORL,92160
527,Walt Lemon Jr.\lemonwa01,NOP,92160
528,Jaylen Morris\morrija01,ATL,92160
529,Antonius Cleveland\clevean01,ATL,92160
530,Damion Lee\leeda03,ATL,92160
531,Mike James\jamesmi02,PHO,87552
532,MarShon Brooks\brookma01,MEM,86119
533,Jarell Eddie\eddieja01,BOS,83129
534,Jarell Eddie\eddieja01,CHI,83129
535,Marquis Teague\teaguma01,MEM,83129
536,Briante Weber\weberbr01,MEM,83129
537,Aaron Harrison\harriaa01,DAL,83129
538,Demetrius Jackson\jacksde01,HOU,74159
539,Georgios Papagiannis\papagge01,POR,74159
540,Scotty Hopson\hopsosc01,DAL,74159
541,Okaro White\whiteok01,CLE,74159
542,Xavier Silas\silasxa01,BOS,74159
543,Isaiah Canaan\canaais01,HOU,53465
544,Tyler Cavanaugh\cavanty01,ATL,50000
545,Kyle Collinsworth\colliky01,DAL,50000
546,Demetrius Jackson\jacksde01,HOU,50000
547,Michael Young\youngmi02,WAS,50000
548,Daniel Ochefu\ochefda01,WAS,50000
549,Nate Wolters\woltena01,UTA,50000
550,Naz Mitrou-Long\mitrona01,UTA,50000
551,Eric Griffin\griffer01,UTA,50000
552,Jacob Pullen\pulleja01,PHI,50000
553,James Michael McAdoo\mcadoja01,PHI,50000
554,Nigel Hayes\hayesni01,NYK,50000
555,Jalen Moore\mooreja02,MIL,50000
556,Gary Payton\paytoga02,MIL,50000
557,Matt Williams\willima05,MIA,50000
558,Vince Hunter\huntevi01,MEM,50000
559,Vander Blue\blueva01,LAL,50000
560,V.J. Beachem\beachvj01,LAL,50000
561,Briante Weber\weberbr01,LAL,50000
562,Jamil Wilson\wilsoja02,LAC,50000
563,Briante Weber\weberbr01,HOU,50000
564,Luis Montero\montelu01,DET,50000
565,Gian Clavell\clavegi01,DAL,50000
566,Antonius Cleveland\clevean01,DAL,50000
567,Diamond Stone\stonedi01,CHI,50000
568,Yakuba Ouattara\ouattya01,BRK,50000
569,Jeremy Evans\evansje01,ATL,50000
570,Nigel Hayes\hayesni01,LAL,46080
571,Xavier Rathan-Mayes\rathaxa01,MEM,46080
572,Trey McKinney-Jones\mckintr01,IND,46080
573,Le'Bryan Nash\nashle01,HOU,46080
574,Jameel Warney\warneja01,DAL,46080
575,Marcus Thornton\thornma02,CLE,46080
576,DeAndre Liggins\liggide01,ATL,26773
